formula,g,i,intensity,name,q
C57H98N16O23P1,1,10,6195,,1
C57H98N16O23P1,3,10,10818,,1
C57H98N16O23P1,4,10,4634,,1
C62H107N17O24P1,0,10,8196,,1
C62H107N17O24P1,3,10,11711,,1
C62H107N17O24P1,4,10,12355,,1
C70H119N19O27P1,2,10,14409,,1
C70H119N19O27P1,0,10,29147,,2
C70H119N19O27P1,1,10,666,,2
C74H124N20O30P1,0,10,16275,,2
C74H124N20O30P1,7,10,75096,,2
C77H129N21O32P1,0,10,8655,,2
C81H135N23O34P1,0,10,7245,,2
C81H135N23O34P1,1,10,7014,,2
C81H135N23O34P1,3,10,136033,,2
C81H135N23O34P1,3,10,48704,,3
C81H135N23O34P1,4,10,3878,,3
C87H146N24O35P1,5,10,10097,,2
C91H152N26O37P1,0,10,6901,,2
C91H152N26O37P1,5,10,3561,,2
C91H152N26O37P1,7,10,3655,,2
C91H152N26O37P1,0,10,9786,,3
C95H159N27O39P1,4,10,21005,,2
C98H164N28O40P1S1,10,10,3084,,2
C98H164N28O40P1S1,11,10,12488,,2
C104H176N30O41P1S1,5,10,5488,,2
C104H176N30O41P1S1,9,10,1383,,2
C107H181N31O43P1S1,3,10,35494,,2
C107H181N31O43P1S1,4,10,12357,,2
C107H181N31O43P1S1,7,10,11467,,2
C107H181N31O43P1S1,8,10,3836,,2
C107H181N31O43P1S1,9,10,5029,,2
C107H181N31O43P1S1,10,10,12068,,2
C107H181N31O43P1S1,12,10,16631,,2
C107H181N31O43P1S1,5,10,4877,,3
C107H181N31O43P1S1,8,10,1440,,3
C110H186N32O45P1S1,10,10,17701,,2
C110H186N32O45P1S1,13,10,34103,,2
C116H193N35O46P1S1,5,10,13130,,3
C116H193N35O46P1S1,6,10,557,,3
C116H193N35O46P1S1,12,10,4931,,3
C119H198N36O47P1S2,15,10,27046,,2
C124H206N38O49P1S2,15,10,16050,,2
C124H206N38O49P1S2,17,10,4026,,2
C151H252N46O59P1S2,0,10,35735,,3
C151H252N46O59P1S2,2,10,16429,,3
C151H252N46O59P1S2,0,10,28489,,4
C157H259N49O60P1S2,7,10,7417,,4
C161H264N50O63P1S2,0,10,21946,,4
C161H264N50O63P1S2,1,10,5750,,4
C165H271N51O65P1S2,0,10,13201,,4
C165H271N51O65P1S2,1,10,15667,,4
C176H281N53O66P1S2,0,10,8857,,5
C176H281N53O66P1S2,1,10,483,,5
C184H293N55O69P1S2,0,10,84458,,4
C184H293N55O69P1S2,0,10,27024,,5
C209H334N60O76P1S2,0,10,52642,,4
C209H334N60O76P1S2,2,10,28752,,4
C209H334N60O76P1S2,3,10,9938,,4
C209H334N60O76P1S2,0,10,51257,,5
C215H346N62O77P1S2,0,10,29928,,5
C215H346N62O77P1S2,0,10,19747,,6
C219H353N63O79P1S2,1,10,36601,,4
C228H362N64O80P1S2,0,10,19383,,4
C228H362N64O80P1S2,1,10,43858,,4
C228H362N64O80P1S2,5,10,3581,,4
C228H362N64O80P1S2,0,10,54521,,5
C228H362N64O80P1S2,2,10,18885,,5
C228H362N64O80P1S2,0,10,33812,,6
C237H371N65O81P1S2,0,10,12117,,4
C237H371N65O81P1S2,1,10,37673,,4
C237H371N65O81P1S2,2,10,11131,,4
C237H371N65O81P1S2,3,10,1635,,4
C237H371N65O81P1S2,6,10,37000,,4
C237H371N65O81P1S2,4,10,27695,,5
C242H378N66O84P1S2,0,10,12949,,5
C242H378N66O84P1S2,1,10,7311,,5
C247H385N67O87P1S2,0,10,23352,,5
C247H385N67O87P1S2,1,10,7910,,5
C253H396N68O88P1S2,5,10,47748,,4
C253H396N68O88P1S2,9,10,39064,,4
C253H396N68O88P1S2,6,10,5673,,5
C253H396N68O88P1S2,7,10,48246,,5
C253H396N68O88P1S2,11,10,5046,,5
C253H396N68O88P1S2,6,10,6619,,6
C253H396N68O88P1S2,7,10,43988,,6
C262H413N71O90P1S2,0,10,22978,,6
C262H413N71O90P1S2,2,10,2889,,6
C267H421N73O92P1S2,0,10,18402,,5
C267H421N73O92P1S2,1,10,33742,,5
C273H433N77O93P1S2,0,10,37663,,6
C273H433N77O93P1S2,5,10,18356,,6
C279H445N79O94P1S2,0,10,9722,,6
C279H445N79O94P1S2,3,10,12406,,6
C279H445N79O94P1S2,4,10,6855,,6
C279H445N79O94P1S2,7,10,19112,,6
C279H445N79O94P1S2,5,10,34182,,7
C283H450N80O97P1S2,0,10,20875,,5
C283H450N80O97P1S2,2,10,29369,,5
C283H450N80O97P1S2,0,10,51037,,6
C283H450N80O97P1S2,5,10,673,,6
C283H450N80O97P1S2,0,10,14602,,7
C288H457N81O100P1S2,0,10,39596,,6
C288H457N81O100P1S2,2,10,1216,,6
C297H471N83O104P1S2,2,10,38635,,6
C319H511N91O110P1S2,0,10,45311,,6
C319H511N91O110P1S2,4,10,25618,,6
C319H511N91O110P1S2,6,10,12014,,6
C319H511N91O110P1S2,0,10,29805,,7
C319H511N91O110P1S2,2,10,4654,,7
C319H511N91O110P1S2,3,10,6267,,7
C319H511N91O110P1S2,6,10,7552,,7
C322H516N92O112P1S2,1,10,42805,,6
C328H523N95O113P1S2,8,10,6345,,6
C328H523N95O113P1S2,3,10,19565,,7
C337H539N97O116P1S2,1,10,36733,,6
C337H539N97O116P1S2,2,10,14934,,6
C337H539N97O116P1S2,1,10,44040,,7
C346H548N98O118P1S2,6,10,6417,,6
C346H548N98O118P1S2,9,10,23784,,6
C352H559N99O119P1S2,0,10,17568,,6
C352H559N99O119P1S2,1,10,17109,,8
C378H602N110O125P1S2,0,10,24240,,7
C378H602N110O125P1S2,5,10,34116,,7
C378H602N110O125P1S2,11,10,66091,,7
C382H607N111O128P1S2,5,10,67223,,6
C382H607N111O128P1S2,8,10,50297,,6
C382H607N111O128P1S2,0,10,28996,,7
C382H607N111O128P1S2,3,10,24463,,7
C446H710N126O149P1S2,1,10,5323,,9
C446H710N126O149P1S2,3,10,14456,,9
C459H732N129O158P2S2,0,10,36629,,8
C459H732N129O158P2S2,3,10,1975,,8
C485H763N136O161P2S2,0,10,24732,,9
C485H763N136O161P2S2,3,10,39319,,9
C513H810N143O168P2S2,0,10,23167,,9
C513H810N143O168P2S2,2,10,23616,,9
C513H810N143O168P2S2,0,10,14613,,10
C513H810N143O168P2S2,2,10,28712,,10
C513H810N143O168P2S2,4,10,12955,,10
C526H834N147O173P2S2,0,10,21165,,10
C526H834N147O173P2S2,1,10,9665,,10
C549H869N152O178P2S2,0,10,41167,,10
C549H869N152O178P2S2,3,10,16225,,10
C710H1115N194O231P2S2,6,10,11107,,12
C765H1210N209O250P2S5,3,10,20610,,12
C765H1210N209O250P2S5,4,10,29132,,12
C765H1210N209O250P2S5,0,10,52188,,13
C765H1210N209O250P2S5,1,10,51794,,13
C767H1213N210O251P2S5,0,10,29097,,12
C767H1213N210O251P2S5,4,10,90813,,12
C767H1213N210O251P2S5,7,10,22037,,12
C767H1213N210O251P2S5,0,10,109139,,13
C767H1213N210O251P2S5,6,10,77120,,13
C767H1213N210O251P2S5,0,10,68534,,14
C767H1213N210O251P2S5,4,10,56824,,14
C767H1213N210O251P2S5,1,10,71036,,15
C767H1213N210O251P2S5,4,10,7174,,15
C767H1213N210O251P2S5,0,10,5706,,16
C767H1213N210O251P2S5,1,10,24374,,16
C93H159N26O36P1S3,16,10,9092,,2
C99H171N30O37P1S3,9,10,16696,,2
C99H171N30O37P1S3,11,10,5109,,2
C99H171N30O37P1S3,12,10,3680,,2
C99H171N30O37P1S3,13,10,17325,,2
C99H171N30O37P1S3,14,10,1909,,2
C99H171N30O37P1S3,16,10,8574,,2
C110H189N32O39P1S3,6,10,25440,,2
C110H189N32O39P1S3,8,10,1556,,2
C110H189N32O39P1S3,11,10,2132,,2
C110H189N32O39P1S3,12,10,17793,,2
C115H198N33O40P1S3,3,10,18925,,2
C115H198N33O40P1S3,5,10,9527,,2
C115H198N33O40P1S3,3,10,8761,,3
C121H209N34O41P1S3,0,10,21272,,2
C121H209N34O41P1S3,4,10,26629,,2
C121H209N34O41P1S3,7,10,22898,,2
C121H209N34O41P1S3,0,10,7595,,3
C139H231N38O45P1S3,3,10,5006,,3
C139H231N38O45P1S3,6,10,3796,,3
C139H231N38O45P1S3,7,10,2242,,3
C139H231N38O45P1S3,8,10,4705,,3
C139H231N38O45P1S3,0,10,11966,,4
C139H231N38O45P1S3,4,10,1058,,4
C139H231N38O45P1S3,6,10,23241,,4
C144H238N39O48P1S3,5,10,20557,,2
C152H250N41O51P1S3,5,10,34648,,3
C152H250N41O51P1S3,8,10,10887,,3
C152H250N41O51P1S3,6,10,59538,,4
C152H250N41O51P1S3,8,10,18063,,4
C152H250N41O51P1S3,7,10,23216,,5
C152H250N41O51P1S3,9,10,37,,5
C155H255N42O53P1S3,4,10,20720,,3
C155H255N42O53P1S3,5,10,29115,,3
C155H255N42O53P1S3,3,10,6938,,4
C155H255N42O53P1S3,5,10,23530,,4
C159H260N43O56P1S3,11,10,37071,,4
C168H269N44O58P1S3,6,10,38827,,3
C168H269N44O58P1S3,9,10,5512,,3
C168H269N44O58P1S3,7,10,86378,,4
C168H269N44O58P1S3,6,10,20857,,5
C181H291N48O63P1S3,12,10,23488,,4
C187H298N51O64P1S3,14,10,6162,,4
C218H348N59O76P1S3,6,10,16407,,4
C218H348N59O76P1S3,5,10,15635,,5
C218H348N59O76P1S3,10,10,11828,,6
C221H353N60O78P1S3,1,10,26345,,5
C226H362N61O79P1S3,12,10,21829,,4
C235H371N62O80P1S3,4,10,40285,,4
C235H371N62O80P1S3,6,10,36460,,4
C235H371N62O80P1S3,4,10,64420,,5
C235H371N62O80P1S3,8,10,15723,,5
C241H383N64O81P1S3,-1,10,14240,,4
C241H383N64O81P1S3,2,10,43760,,4
C241H383N64O81P1S3,8,10,8876,,4
C241H383N64O81P1S3,1,10,35984,,5
C241H383N64O81P1S3,7,10,36484,,5
C241H383N64O81P1S3,11,10,5554,,5
C244H388N65O83P1S3,0,10,13809,,5
C254H407N68O86P1S3,11,10,41939,,4
C282H454N75O93P1S3,2,10,39585,,5
C282H454N75O93P1S3,2,10,16002,,6
C291H463N76O94P1S3,0,10,31704,,6
C291H463N76O94P1S3,4,10,6087,,6
C291H463N76O94P1S3,-1,10,16610,,7
C317H502N84O102P2S3,0,10,12362,,6
C317H502N84O102P2S3,3,10,18563,,6
C321H507N85O105P2S3,1,10,66735,,6
C321H507N85O105P2S3,2,10,15356,,6
C321H507N85O105P2S3,1,10,19138,,7
C385H610N100O126P2S3,6,10,32697,,5
C385H610N100O126P2S3,-1,10,11344,,6
C385H610N100O126P2S3,0,10,31287,,6
C385H610N100O126P2S3,1,10,38381,,6
C385H610N100O126P2S3,3,10,992,,6
C385H610N100O126P2S3,-1,10,27194,,7
C385H610N100O126P2S3,3,10,9457,,7
C385H610N100O126P2S3,1,10,10579,,8
C385H610N100O126P2S3,2,10,6191,,8
C385H610N100O126P2S3,6,10,19732,,8
C511H816N142O165P2S3,9,10,41728,,8
C558H883N151O178P2S3,0,10,20760,,10
C37H59N10O16,0,10,15787,,1
C37H59N10O16,5,10,1349,,1
C37H59N10O16,6,10,7477,,1
C43H70N11O17,0,10,30816,,1
C43H70N11O17,1,10,3654,,1
C49H82N13O18,0,10,15125,,1
C49H82N13O18,0,10,19980,,2
C55H94N15O19,1,10,5034,,1
C55H94N15O19,8,10,14557,,1
C55H94N15O19,0,10,40322,,2
C57H97N16O20,0,10,19720,,2
C57H97N16O20,1,10,5884,,2
C62H106N17O21,14,10,9555,,1
C62H106N17O21,0,10,20306,,2
C70H118N19O24,0,10,139585,,2
C74H123N20O27,0,10,76950,,2
C74H123N20O27,1,10,8738,,2
C81H134N23O31,0,10,49947,,2
C81H134N23O31,1,10,6392,,2
C81H134N23O31,0,10,11056,,3
C87H145N24O32,0,10,13185,,2
C87H145N24O32,1,10,2137,,2
C91H151N26O34,0,10,40505,,2
C91H151N26O34,1,10,14834,,2
C91H151N26O34,0,10,23337,,3
C95H158N27O36,0,10,5281,,3
C104H175N30O38S1,0,10,27218,,2
C104H175N30O38S1,15,10,10872,,2
C110H185N32O42S1,0,10,17495,,3
C116H192N35O43S1,0,10,29234,,2
C119H197N36O44S2,12,10,19571,,2
C124H205N38O46S2,5,10,35105,,2
C124H205N38O46S2,6,10,1784,,2
C127H210N39O48S2,7,10,16968,,2
C127H210N39O48S2,11,10,25945,,2
C127H210N39O48S2,8,10,3707,,3
C144H241N44O52S2,0,10,797,,3
C144H241N44O52S2,1,10,9021,,3
C144H241N44O52S2,2,10,10369,,3
C144H241N44O52S2,0,10,19647,,4
C146H244N45O53S2,0,10,12981,,3
C146H244N45O53S2,2,10,29784,,3
C146H244N45O53S2,0,10,14702,,4
C151H251N46O56S2,0,10,93108,,3
C151H251N46O56S2,3,10,7793,,3
C151H251N46O56S2,0,10,58256,,4
C157H258N49O57S2,0,10,21016,,3
C157H258N49O57S2,1,10,14423,,3
C157H258N49O57S2,0,10,15018,,4
C157H258N49O57S2,1,10,199,,4
C157H258N49O57S2,2,10,3354,,4
C161H263N50O60S2,8,10,5451,,3
C161H263N50O60S2,9,10,129,,3
C161H263N50O60S2,14,10,14802,,3
C161H263N50O60S2,0,10,27584,,4
C161H263N50O60S2,2,10,10308,,4
C165H270N51O62S2,0,10,35071,,4
C176H280N53O63S2,0,10,7650,,5
C184H292N55O66S2,5,10,5783,,3
C184H292N55O66S2,7,10,45908,,3
C184H292N55O66S2,9,10,3931,,3
C184H292N55O66S2,11,10,64274,,3
C184H292N55O66S2,0,10,96715,,4
C184H292N55O66S2,0,10,33376,,5
C209H333N60O73S2,0,10,63948,,4
C209H333N60O73S2,4,10,5806,,4
C209H333N60O73S2,0,10,41286,,5
C209H333N60O73S2,1,10,1261,,5
C215H345N62O74S2,0,10,25049,,4
C215H345N62O74S2,2,10,9202,,4
C215H345N62O74S2,0,10,27860,,5
C219H352N63O76S2,1,10,2662,,4
C219H352N63O76S2,0,10,7548,,6
C219H352N63O76S2,1,10,6718,,6
C228H361N64O77S2,0,10,55921,,4
C228H361N64O77S2,1,10,4252,,4
C228H361N64O77S2,2,10,28187,,4
C228H361N64O77S2,0,10,48719,,5
C228H361N64O77S2,2,10,18664,,5
C228H361N64O77S2,0,10,35433,,6
C228H361N64O77S2,1,10,5634,,6
C237H370N65O78S2,0,10,59798,,4
C237H370N65O78S2,2,10,16390,,4
C237H370N65O78S2,1,10,22703,,5
C237H370N65O78S2,2,10,55017,,5
C237H370N65O78S2,0,10,27973,,6
C242H377N66O81S2,0,10,10422,,5
C242H377N66O81S2,2,10,14933,,5
C247H384N67O84S2,7,10,3719,,4
C247H384N67O84S2,8,10,34773,,4
C247H384N67O84S2,0,10,26499,,5
C247H384N67O84S2,3,10,1283,,5
C247H384N67O84S2,4,10,2420,,5
C247H384N67O84S2,8,10,51683,,5
C247H384N67O84S2,9,10,18394,,5
C247H384N67O84S2,7,10,14460,,6
C247H384N67O84S2,9,10,9485,,6
C253H395N68O85S2,2,10,5440,,6
C253H395N68O85S2,6,10,13369,,6
C262H412N71O87S2,1,10,42074,,4
C262H412N71O87S2,3,10,33291,,5
C262H412N71O87S2,0,10,15269,,6
C262H412N71O87S2,1,10,20463,,6
C267H420N73O89S2,0,10,29281,,5
C267H420N73O89S2,1,10,3981,,5
C267H420N73O89S2,0,10,26327,,6
C267H420N73O89S2,2,10,12771,,6
C273H432N77O90S2,1,10,23806,,5
C273H432N77O90S2,2,10,11955,,5
C273H432N77O90S2,0,10,33278,,6
C273H432N77O90S2,4,10,6318,,6
C273H432N77O90S2,2,10,16067,,7
C273H432N77O90S2,5,10,1563,,7
C273H432N77O90S2,6,10,17308,,7
C279H444N79O91S2,0,10,21875,,5
C279H444N79O91S2,6,10,41299,,5
C279H444N79O91S2,0,10,19596,,6
C279H444N79O91S2,4,10,72313,,6
C279H444N79O91S2,2,10,3163,,7
C279H444N79O91S2,4,10,6773,,7
C279H444N79O91S2,5,10,71524,,7
C283H449N80O94S2,1,10,42371,,5
C283H449N80O94S2,0,10,56872,,6
C283H449N80O94S2,0,10,30565,,7
C288H456N81O97S2,1,10,13979,,6
C288H456N81O97S2,3,10,17114,,6
C297H470N83O101S2,0,10,6331,,6
C297H470N83O101S2,1,10,15623,,6
C297H470N83O101S2,2,10,12363,,6
C307H487N86O105S2,0,10,6006,,6
C307H487N86O105S2,1,10,11825,,6
C313H498N87O106S2,0,10,29253,,6
C319H510N91O107S2,1,10,24862,,7
C331H527N96O112S2,1,10,21947,,6
C337H538N97O113S2,2,10,38314,,6
C337H538N97O113S2,5,10,23717,,6
C337H538N97O113S2,0,10,29849,,7
C337H538N97O113S2,1,10,6826,,7
C337H538N97O113S2,2,10,2125,,7
C352H558N99O116S2,2,10,36377,,6
C382H606N111O125S2,0,10,3813,,6
C382H606N111O125S2,2,10,16440,,6
C382H606N111O125S2,0,10,29282,,7
C485H762N136O158P1S2,0,10,34248,,8
C485H762N136O158P1S2,3,10,4086,,8
C513H809N143O165P1S2,7,10,24351,,8
C513H809N143O165P1S2,8,10,1455,,8
C16H30N6O6S1,3,11,4927,,1
C16H30N6O6S1,4,11,8501,,1
C46H80N14O18S2,-1,11,13971,,3
C68H120N20O23S3,7,11,22568,,4
C13H22N3O7,14,11,3417,,1
C18H29N4O10,12,11,7163,,1
C33H52N9O14,2,11,2325,,2
C33H52N9O14,3,11,5694,,2
C33H52N9O14,4,11,8134,,2
C33H52N9O14,5,11,4456,,2
C57H98N16O23P1,6,11,9509,,3
C37H59N10O16,5,11,5848,,2
C55H94N15O19,0,11,10801,,3
C57H97N16O20,6,11,12895,,3
C16H30N6O6S1,3,12,12090,,1
C16H30N6O6S1,4,12,9399,,1
C27H47N9O11S2,-1,12,10436,,2
C46H80N14O18S2,2,12,12316,,3
C68H120N20O23S3,7,12,22346,,4
C27H41N8O13,10,12,5292,,2
C27H41N8O13,11,12,6915,,2
C33H52N9O14,13,12,6723,,2
C57H98N16O23P1,6,12,15851,,3
C37H59N10O16,5,12,2315,,2
C55H94N15O19,1,12,12219,,3
C55H94N15O19,2,12,6936,,3
C55H94N15O19,7,12,4234,,3
C57H97N16O20,6,12,11271,,3
C74H123N20O27,5,12,14219,,4
C16H30N6O6S1,3,13,6475,,1
C16H30N6O6S1,4,13,9982,,1
C32H56N10O12S2,9,13,12467,,2
C46H80N14O18S2,1,13,16762,,3
C91H155N25O32S3,10,13,24948,,5
C33H52N9O14,13,13,4425,,2
C57H98N16O23P1,6,13,12091,,3
C16H30N6O6S1,-1,14,1759,,1
C16H30N6O6S1,2,14,1472,,1
C16H30N6O6S1,3,14,12953,,1
C16H30N6O6S1,4,14,6609,,1
C32H56N10O12S2,3,14,4050,,2
C46H80N14O18S2,-1,14,14121,,3
C13H22N3O7,17,14,4427,,1
C18H29N4O10,11,14,2059,,1
C18H29N4O10,13,14,978,,1
C18H29N4O10,17,14,646,,1
C33H52N9O14,6,14,13088,,2
C33H52N9O14,12,14,6682,,2
C57H98N16O23P1,6,14,6281,,3
C57H97N16O20,6,14,11581,,3
C16H30N6O6S1,-1,15,19412,c5,1
C16H30N6O6S1,1,15,17176,c5,1
C16H30N6O6S1,2,15,54430,c5,1
C16H30N6O6S1,4,15,8008,c5,1
C16H30N6O6S1,8,15,19015,c5,1
C16H30N6O6S1,9,15,10136,c5,1
C16H30N6O6S1,10,15,9058,c5,1
C16H30N6O6S1,13,15,14667,c5,1
C32H56N10O12S2,9,15,48784,c9,2
C52H92N16O19S2,8,15,19086,c13,3
C52H92N16O19S2,13,15,17901,c13,3
C68H120N20O23S3,5,15,64882,c16,4
C68H120N20O23S3,6,15,327,c16,4
C77H134N22O26S3,6,15,32478,c18,4
C115H197N33O37S3,6,15,28400,c26,6
C18H29N4O10,0,15,2735,z4,1
C18H29N4O10,1,15,2638,z4,1
C18H29N4O10,11,15,24393,z4,1
C18H29N4O10,13,15,13608,z4,1
C18H29N4O10,15,15,2115,z4,1
C37H59N10O16,5,15,43804,z8,2
C55H94N15O19,0,15,53348,z11,3
C55H94N15O19,1,15,115740,z11,3
C55H94N15O19,4,15,18979,z11,3
C55H94N15O19,12,15,24859,z11,3
C57H97N16O20,6,15,23912,z12,3
C57H97N16O20,12,15,18208,z12,3
C57H97N16O20,14,15,23789,z12,3
C62H106N17O21,5,15,23170,z13,3
C74H123N20O27,3,15,19847,z16,4
C74H123N20O27,11,15,12345,z16,4
C77H128N21O29,1,15,56547,z17,4
C77H128N21O29,7,15,29450,z17,4
C95H158N27O36,14,15,119422,z21,5
C16H30N6O6S1,0,16,8715,c5,1
C16H30N6O6S1,1,16,14582,c5,1
C16H30N6O6S1,3,16,273417,c5,1
C16H30N6O6S1,4,16,8101,c5,1
C16H30N6O6S1,6,16,4682,c5,1
C16H30N6O6S1,8,16,10437,c5,1
C16H30N6O6S1,12,16,21770,c5,1
C16H30N6O6S1,16,16,21627,c5,1
C32H56N10O12S2,-1,16,11271,c9,2
C32H56N10O12S2,9,16,43554,c9,2
C32H56N10O12S2,10,16,90923,c9,2
C68H120N20O23S3,12,16,185821,c16,4
C68H120N20O23S3,13,16,1265,c16,4
C68H120N20O23S3,14,16,94033,c16,4
C77H134N22O26S3,5,16,37917,c18,4
C77H134N22O26S3,6,16,13669,c18,4
C18H29N4O10,6,16,3181,z4,1
C18H29N4O10,13,16,9497,z4,1
C18H29N4O10,15,16,11911,z4,1
C33H52N9O14,13,16,14007,z7,2
C37H59N10O16,0,16,48859,z8,2
C37H59N10O16,5,16,34013,z8,2
C37H59N10O16,14,16,5085,z8,2
C55H94N15O19,0,16,72320,z11,3
C55H94N15O19,8,16,20611,z11,3
C55H94N15O19,16,16,20711,z11,3
C57H97N16O20,1,16,15934,z12,3
C57H97N16O20,6,16,40422,z12,3
C57H97N16O20,14,16,21776,z12,3
C62H106N17O21,3,16,46516,z13,3
C62H106N17O21,4,16,9818,z13,3
C74H123N20O27,4,16,20185,z16,4
C74H123N20O27,11,16,10425,z16,4
C16H30N6O6S1,0,17,12269,c5,1
C16H30N6O6S1,1,17,14314,c5,1
C16H30N6O6S1,2,17,13996,c5,1
C16H30N6O6S1,3,17,6192,c5,1
C16H30N6O6S1,4,17,252304,c5,1
C32H56N10O12S2,0,17,7503,c9,2
C32H56N10O12S2,8,17,40293,c9,2
C32H56N10O12S2,9,17,24129,c9,2
C32H56N10O12S2,10,17,141609,c9,2
C52H92N16O19S2,1,17,47147,c13,3
C52H92N16O19S2,3,17,40930,c13,3
C52H92N16O19S2,11,17,28141,c13,3
C91H155N25O32S3,11,17,61192,c21,5
C18H29N4O10,11,17,20351,z4,1
C18H29N4O10,12,17,10925,z4,1
C18H29N4O10,13,17,16678,z4,1
C18H29N4O10,15,17,7437,z4,1
C33H52N9O14,6,17,26715,z7,2
C37H59N10O16,0,17,66611,z8,2
C37H59N10O16,2,17,181900,z8,2
C37H59N10O16,5,17,46543,z8,2
C37H59N10O16,12,17,7419,z8,2
C37H59N10O16,17,17,6270,z8,2
C55H94N15O19,1,17,109540,z11,3
C55H94N15O19,8,17,8993,z11,3
C55H94N15O19,9,17,27106,z11,3
C55H94N15O19,10,17,470,z11,3
C55H94N15O19,11,17,22211,z11,3
C55H94N15O19,13,17,33827,z11,3
C57H97N16O20,5,17,53183,z12,3
C57H97N16O20,6,17,8924,z12,3
C57H97N16O20,12,17,12321,z12,3
C57H97N16O20,14,17,23419,z12,3
C62H106N17O21,14,17,10739,z13,3
C62H106N17O21,15,17,6023,z13,3
C74H123N20O27,2,17,21184,z16,4
C95H158N27O36,14,17,128127,z21,5
C11H21N5O5,0,18,15586,c4,1
C16H30N6O6S1,0,18,41640,c5,1
C21H39N7O7S2,-1,18,156909,c6,1
C21H39N7O7S2,0,18,56159,c6,1
C23H42N8O8S2,-1,18,15559,c7,1
C23H42N8O8S2,0,18,187236,c7,1
C32H56N10O12S2,4,18,23113,c9,1
C38H68N12O13S2,0,18,162109,c10,1
C38H68N12O13S2,2,18,16028,c10,1
C38H68N12O13S2,5,18,19791,c10,1
C38H68N12O13S2,10,18,5878,c10,1
C38H68N12O13S2,11,18,20755,c10,1
C43H75N13O16S2,-1,18,8824,c11,1
C43H75N13O16S2,0,18,162587,c11,1
C43H75N13O16S2,5,18,35991,c11,1
C43H75N13O16S2,6,18,3538,c11,1
C43H75N13O16S2,16,18,14880,c11,1
C46H80N14O18S2,0,18,179373,c12,1
C46H80N14O18S2,5,18,78521,c12,1
C46H80N14O18S2,6,18,61677,c12,1
C46H80N14O18S2,7,18,48977,c12,1
C46H80N14O18S2,9,18,37008,c12,1
C46H80N14O18S2,10,18,55168,c12,1
C52H92N16O19S2,3,18,55490,c13,1
C52H92N16O19S2,4,18,12612,c13,1
C52H92N16O19S2,0,18,239496,c13,2
C57H101N17O20S3,0,18,335312,c14,2
C62H109N19O22S3,0,18,121482,c15,2
C68H120N20O23S3,0,18,320956,c16,2
C77H134N22O26S3,0,18,59644,c18,2
C77H134N22O26S3,1,18,11122,c18,2
C77H134N22O26S3,0,18,41989,c18,3
C82H141N23O29S3,0,18,414163,c19,2
C82H141N23O29S3,0,18,42965,c19,3
C91H155N25O32S3,3,18,47024,c21,2
C91H155N25O32S3,5,18,58921,c21,2
C91H155N25O32S3,9,18,81224,c21,2
C93H158N26O33S3,0,18,239811,c22,2
C93H158N26O33S3,4,18,44376,c22,2
C93H158N26O33S3,6,18,39414,c22,2
C93H158N26O33S3,8,18,87802,c22,2
C99H170N30O34S3,0,18,68796,c23,2
C99H170N30O34S3,1,18,92719,c23,2
C99H170N30O34S3,4,18,61434,c23,2
C99H170N30O34S3,0,18,241882,c23,3
C110H188N32O36S3,0,18,66305,c25,3
C115H197N33O37S3,0,18,97147,c26,3
C121H208N34O38S3,0,18,74157,c27,2
C121H208N34O38S3,1,18,18553,c27,2
C121H208N34O38S3,-1,18,120364,c27,3
C121H208N34O38S3,1,18,68169,c27,3
C121H208N34O38S3,0,18,92271,c27,4
C139H230N38O42S3,0,18,105966,c30,3
C139H230N38O42S3,-1,18,18572,c30,4
C139H230N38O42S3,0,18,56020,c30,4
C144H237N39O45S3,-1,18,250834,c31,3
C152H249N41O48S3,-1,18,206027,c33,3
C152H249N41O48S3,1,18,43439,c33,3
C152H249N41O48S3,3,18,132601,c33,3
C152H249N41O48S3,0,18,23166,c33,4
C155H254N42O50S3,-1,18,201185,c34,3
C155H254N42O50S3,1,18,50183,c34,3
C155H254N42O50S3,3,18,80298,c34,3
C155H254N42O50S3,-1,18,100840,c34,4
C155H254N42O50S3,0,18,156082,c34,4
C155H254N42O50S3,1,18,2603,c34,4
C159H259N43O53S3,-1,18,72795,c35,3
C159H259N43O53S3,1,18,8788,c35,3
C159H259N43O53S3,0,18,61849,c35,4
C171H273N45O57S3,-1,18,9919,c37,4
C171H273N45O57S3,0,18,106715,c37,4
C175H279N47O59S3,-1,18,10718,c38,4
C175H279N47O59S3,2,18,235711,c38,4
C175H279N47O59S3,6,18,83887,c38,4
C175H279N47O59S3,8,18,46723,c38,4
C181H290N48O60S3,0,18,23636,c39,4
C181H290N48O60S3,1,18,57231,c39,4
C181H290N48O60S3,4,18,42756,c39,4
C187H297N51O61S3,-1,18,104902,c40,4
C187H297N51O61S3,1,18,103075,c40,4
C187H297N51O61S3,-1,18,30756,c40,5
C187H297N51O61S3,0,18,66440,c40,5
C187H297N51O61S3,1,18,50363,c40,5
C197H312N54O66S3,-1,18,181797,c42,4
C197H312N54O66S3,0,18,80222,c42,4
C197H312N54O66S3,-1,18,26686,c42,5
C197H312N54O66S3,0,18,100927,c42,5
C221H352N60O75S3,0,18,52396,c48,4
C221H352N60O75S3,4,18,24048,c48,4
C221H352N60O75S3,6,18,90839,c48,5
C221H352N60O75S3,1,18,59083,c48,6
C235H370N62O77S3,6,18,97834,c50,5
